Tissue_Subtype	Uberon	Tissue_Group	Uberon2
Adipose - Subcutaneous	UBERON_0002190	Adipose	UBERON_0001013
Adipose - Visceral (Omentum)	UBERON_0010414	Adipose	UBERON_0001013
Adrenal Gland	UBERON_0002369	Adrenal Gland	UBERON_0002369
Artery - Aorta	UBERON_0001496	Artery	UBERON_0001637
Artery - Coronary	UBERON_0001621	Artery	UBERON_0001637
Artery - Tibial	UBERON_0007610	Artery	UBERON_0001637
Bladder	UBERON_0001255	Bladder	UBERON_0018707
Brain - Amygdala	UBERON_0001876	Brain	UBERON_0000955
Brain - Anterior cingulate cortex (BA24)	UBERON_0009835	Brain	UBERON_0000955
Brain - Caudate (basal ganglia)	UBERON_0001873	Brain	UBERON_0000955
Brain - Cerebellar Hemisphere	UBERON_0002037	Brain	UBERON_0000955
Brain - Cerebellum	UBERON_0002037	Brain	UBERON_0000955
Brain - Cortex	UBERON_0001870	Brain	UBERON_0000955
Brain - Frontal Cortex (BA9)	UBERON_0009834	Brain	UBERON_0000955
Brain - Hippocampus	UBERON_0001954	Brain	UBERON_0000955
Brain - Hypothalamus	UBERON_0001898	Brain	UBERON_0000955
Brain - Nucleus accumbens (basal ganglia)	UBERON_0001882	Brain	UBERON_0000955
Brain - Putamen (basal ganglia)	UBERON_0001874	Brain	UBERON_0000955
Brain - Spinal cord (cervical c-1)	UBERON_0006469	Brain	UBERON_0000955
Brain - Substantia nigra	UBERON_0002038	Brain	UBERON_0000955
Breast - Mammary Tissue	UBERON_0008367	Breast	UBERON_0000310
Cells - Cultured fibroblasts	EFO_0002009	Cells	
Cells - EBV-transformed lymphocytes	EFO_0000572	Cells	
Cervix - Ectocervix	UBERON_0012249	Cervix	UBERON_0000002
Cervix - Endocervix	UBERON_0000458	Cervix	UBERON_0000002
Colon - Sigmoid	UBERON_0001159	Colon	UBERON_0001155
Colon - Transverse	UBERON_0001157	Colon	UBERON_0001155
Esophagus - Gastroesophageal Junction	UBERON_0004550	Esophagus	UBERON_0001043
Esophagus - Mucosa	UBERON_0006920	Esophagus	UBERON_0001043
Esophagus - Muscularis	UBERON_0004648	Esophagus	UBERON_0001043
Fallopian Tube	UBERON_0003889	Fallopian Tube	UBERON_0003889
Heart - Atrial Appendage	UBERON_0006631	Heart	UBERON_0000948
Heart - Left Ventricle	UBERON_0006566	Heart	UBERON_0000948
Kidney - Cortex	UBERON_0001225	Kidney	UBERON_0002113
Kidney - Medulla	UBERON_0001293	Kidney	UBERON_0002113
Liver	UBERON_0001114	Liver	UBERON_0002107
Lung	UBERON_0008952	Lung	UBERON_0002048
Minor Salivary Gland	UBERON_0006330	Minor Salivary Gland	UBERON_0001830
Muscle - Skeletal	UBERON_0011907	Muscle	
Nerve - Tibial	UBERON_0001323	Nerve	UBERON_0001021
Ovary	UBERON_0000992	Ovary	UBERON_0000992
Pancreas	UBERON_0001150	Pancreas	UBERON_0001264
Pituitary	UBERON_0000007	Pituitary	UBERON_0000007
Prostate	UBERON_0002367	Prostate	UBERON_0002367
Skin - Not Sun Exposed (Suprapubic)	UBERON_0036149	Skin	UBERON_0001003
Skin - Sun Exposed (Lower leg)	UBERON_0004264	Skin	UBERON_0001003
Small Intestine - Terminal Ileum	UBERON_0001211	Small Intestine	UBERON_0002108
Spleen	UBERON_0002106	Spleen	UBERON_0002106
Stomach	UBERON_0000945	Stomach	UBERON_0000945
Testis	UBERON_0000473	Testis	UBERON_0000473
Thyroid	UBERON_0002046	Thyroid	UBERON_0002046
Uterus	UBERON_0000995	Uterus	UBERON_0000995
Vagina	UBERON_0000996	Vagina	UBERON_0000996
Whole Blood	UBERON_0013756	Whole Blood	UBERON_0000178
