gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
5_8S_rRNA	-0.00421940928270042	0.00444151488992339	0.00299580179325332
7SK	0.897831563832692	0.000861218331941842	0.000580891764894772
A1BG	0.990477260659429	8.4189508048041e-05	5.67858231784036e-05
A1BG-AS1	0.999164203700566	7.42143290015723e-06	5.00575649115605e-06
A1CF	0.999989675341531	9.1715408032566e-08	6.18620427179658e-08
A2M	0.999953430867788	4.13672720803163e-07	2.79022250181733e-07
A2M-AS1	0.999917168948016	7.35773327585763e-07	4.96279109456597e-07
A2ML1	0.999290334611406	6.30185411735353e-06	4.25060060215496e-06
A2ML1-AS1	0.999716850322216	2.51491570113733e-06	1.69631064041713e-06
A2ML1-AS2	0.999729316779774	2.40420448206657e-06	1.6216359231539e-06
A2MP1	0.97977410949767	0.000177853389621571	0.00011996211129975
A3GALT2	0.766426489811494	0.00183255918948038	0.00123606117330452
A4GALT	0.999825558393104	1.54946241988182e-06	1.04511240221029e-06
A4GNT	0.997539415596993	2.18309421495028e-05	1.47249704798396e-05
AA06	0.983622556016702	0.000144292585416222	9.73253488632416e-05
AAAS	0.997730548380594	2.01370892024525e-05	1.35824666670542e-05
AACS	0.999463555657165	4.76405774314294e-06	3.21335694774991e-06
AACSP1	0.999667021848258	2.95741503952795e-06	1.9947764441616e-06
AADAC	0.999396905065468	5.35579013153502e-06	3.61248044372037e-06
AADACL2	0.999893498565946	9.4602187458491e-07	6.38091754407522e-07
AADACL2-AS1	0.99037864270568	8.50571643499531e-05	5.73710573540433e-05
AADACL3	0.99973947987985	2.31394773284525e-06	1.56075774580412e-06
AADACL4	0.999654883009978	3.06521006120111e-06	2.06748418628015e-06
AADACP1	0.999876644370211	1.09572365574529e-06	7.39065605800201e-07
AADAT	0.998671514638511	1.17933462787456e-05	7.9546120650139e-06
AAED1	0.997897250363341	1.86594814375305e-05	1.25858202296143e-05
AAGAB	0.998301824423293	1.50724041176324e-05	1.0166336577343e-05
AAK1	0.990631430962408	8.28329203212882e-05	5.58708047567089e-05
AAMDC	0.998750684427865	1.10909726195333e-05	7.48086103187518e-06
AAMP	0.991215778647193	7.76891644105988e-05	5.24013413949489e-05
AANAT	0.999633899816622	3.25154142656831e-06	2.19316469222033e-06
AAR2	0.999675672665925	2.88059345635849e-06	1.9429602863138e-06
AARD	0.999995506311927	3.99181859653464e-08	2.69248164336261e-08
AARS	0.998799448250147	1.06583250365299e-05	7.18904023713939e-06
AARS2	0.998587932902273	1.25348011572395e-05	8.45472338055805e-06
AARSD1	0.997023039857164	2.64055337103829e-05	1.78105324876532e-05
AARSP1	0.999678727737103	2.85346344533751e-06	1.92466109388015e-06
AASDH	0.994509256175081	4.86414029132079e-05	3.28086262649587e-05
AASDHPPT	0.999698924575203	2.67410696529784e-06	1.80368514809339e-06
AASS	0.999689189471823	2.76055926058581e-06	1.86199722126513e-06
AATBC	0.999961787979441	3.39438074415393e-07	2.28950981193182e-07
AATF	0.996663830423289	2.95863862566233e-05	1.99560175300924e-05
AATK	0.998515744098141	1.31751392130826e-05	8.88663139922422e-06
AATK-AS1	0.990409353292364	8.47869770303336e-05	5.718881600696e-05
AB015752.1	0.970008866950649	0.000262421799224311	0.000177003503576798
ABALON	0.998104181851107	1.68249452491112e-05	1.13484255705255e-05
ABAT	0.999734792927192	2.35557186977564e-06	1.58883322616367e-06
ABBA01000935.2	0.88793439309859	0.00093971919945317	0.000633840600031163
ABBA01006766.1	0.999970652691399	2.60693832181747e-07	1.75837989806588e-07
ABBA01006766.2	0.999967101158619	2.92241783406215e-07	1.97117082907492e-07
ABBA01031660.1	0.960707237963684	0.000342187518637649	0.000230805481321094
ABBA01031661.1	0.87197116647841	0.00106450032442703	0.000718005468826032
ABBA01031663.1	0.978430154051919	0.000189542506943569	0.000127846420933437
ABBA01031674.1	0.914605648579314	0.000726185101471806	0.000489811850942733
ABBA01040607.1	0.999933131929692	5.9398177525342e-07	4.00640707408432e-07
ABCA1	0.999768609067722	2.05525132616424e-06	1.38626701949778e-06
ABCA10	0.999703024767591	2.63769507710318e-06	1.7791253295061e-06
ABCA11P	0.999383633328162	5.47361358377323e-06	3.69195236225504e-06
ABCA12	0.999977911132704	1.96217392241169e-07	1.32348631066668e-07
ABCA13	0.998913663210407	9.64489221051761e-06	6.50547979599413e-06
ABCA17P	0.993561996602268	5.70058993938835e-05	3.84504791411744e-05
ABCA2	0.997418472486038	2.29025940104205e-05	1.54477996600287e-05
ABCA3	0.999743703792496	2.27643561894221e-06	1.53545582497652e-06
ABCA4	0.999503235037467	4.41176044342632e-06	2.97573241909105e-06
ABCA5	0.999689320410204	2.75939647178591e-06	1.8612129202196e-06
ABCA6	0.999542053839292	4.06709034033417e-06	2.7432524345554e-06
ABCA7	0.998655559390166	1.19348903267418e-05	8.05008352538731e-06
ABCA8	0.999599516901093	3.5568542580965e-06	2.39909819708609e-06
ABCA9	0.999834831984537	1.46709735275072e-06	9.89557164430363e-07
ABCA9-AS1	0.992097771208585	6.99196271155574e-05	4.71607884894435e-05
ABCB1	0.999192037291643	7.17438509036738e-06	4.8391227434528e-06
ABCB10	0.999265176379439	6.52517800889268e-06	4.40123256699811e-06
ABCB10P1	0.991910549823982	7.15694517971696e-05	4.82735952371909e-05
ABCB10P3	0.986197160566426	0.00012176701139777	8.21318491877961e-05
ABCB10P4	0.999475855964602	4.6548497436638e-06	3.13969615210123e-06
ABCB11	0.999929171204801	6.29163216445576e-07	4.24370589492541e-07
ABCB4	0.997414725927583	2.29357894141208e-05	1.54701899598245e-05
ABCB5	0.998805001610675	1.06090525794038e-05	7.1558059648079e-06
ABCB6	0.996998596275399	2.66220215791215e-05	1.79565535551175e-05
ABCB7	0.99567406766638	3.83449512809689e-05	2.58636696390135e-05
ABCB8	0.997098705606087	2.5735356186177e-05	1.73584977475764e-05
ABCB9	0.999218767521767	6.93712410966515e-06	4.67909021196915e-06
ABCC1	0.998887057499019	9.88097585209281e-06	6.6647182122366e-06
ABCC10	0.992516700153687	6.62268306084962e-05	4.46699972454307e-05
ABCC11	0.98313819069689	0.000148523784176108	0.000100179292426785
ABCC12	0.999719384128438	2.49241376897837e-06	1.68113308717591e-06
ABCC13	0.994484969609864	4.88559578316829e-05	3.29533435574701e-05
ABCC2	0.999784431854661	1.91472594775694e-06	1.29148265176206e-06
ABCC3	0.997869122881915	1.89088142304615e-05	1.27539951984463e-05
ABCC4	0.998915179981372	9.63143307581112e-06	6.4964016096346e-06
ABCC5	0.998998393145645	8.89300604071178e-06	5.9983325744601e-06
ABCC5-AS1	0.999553727744814	3.96343572809121e-06	2.67333739859752e-06
ABCC6	0.999271767434569	6.46667125817437e-06	4.36176976363861e-06
ABCC6P1	0.999649003137338	3.11742389515415e-06	2.10270241728148e-06
ABCC6P2	0.999591123008026	3.63138861290604e-06	2.44937161940512e-06
ABCC8	0.998341034789433	1.47246757343463e-05	9.93179378281657e-06
ABCC9	0.999094840200203	8.03706554783111e-06	5.42100071201208e-06
ABCD1	0.996306871534186	3.2746174435948e-05	2.20872946570469e-05
ABCD1P2	0.998393209021319	1.42619590230845e-05	9.61969136107048e-06
ABCD1P4	0.998862664350351	1.00974209707592e-05	6.81071044477708e-06
ABCD1P5	0.963601918233142	0.000317446686560294	0.000214117790084918
ABCD2	0.999882280834869	1.04565991620278e-06	7.05297613478778e-07
ABCD3	0.997819404943491	1.93495159320078e-05	1.30512484961393e-05
ABCD4	0.998476076472319	1.35269841844573e-05	9.12395083241642e-06
ABCE1	0.996244537595139	3.32978362988576e-05	2.24593905835794e-05
ABCF1	0.99177747325177	7.27419544428757e-05	4.90644482717197e-05
ABCF2	0.997002158578412	2.659047189387e-05	1.79352732924153e-05
ABCF2P1	0.971013231227659	0.000253762941741432	0.000171163104204596
ABCF2P2	0.999951546531269	4.30410840944249e-07	2.90312112216896e-07
ABCF3	0.980731364250019	0.000169517836094538	0.000114339780445766
ABCG1	0.999775051909944	1.99803140671624e-06	1.3476721838301e-06
ABCG2	0.999503882272932	4.40601378345054e-06	2.97185629693739e-06
ABCG4	0.999420920609501	5.14258163996674e-06	3.46867131615756e-06
ABCG5	0.999381922903074	5.4887982331855e-06	3.70219440828362e-06
ABCG8	0.999522937379877	4.23682605258473e-06	2.8577391724684e-06
ABHD1	0.991906087829678	7.16087678033004e-05	4.83001138833261e-05
ABHD10	0.998938039621565	9.42858456550969e-06	6.35958028943628e-06
ABHD11	0.998360651446535	1.45507046622593e-05	9.8144502946939e-06
ABHD11-AS1	0.99534970391563	4.12134034556948e-05	2.77984406308661e-05
ABHD12	0.988176292700667	0.000104411278902679	7.04254076198572e-05
ABHD12B	0.999912116909296	7.80647706298668e-07	5.26546877898452e-07
ABHD13	0.9997412853334	2.29791371344963e-06	1.54994279972177e-06
ABHD14A	0.999124576687094	7.77314592116254e-06	5.24298692382413e-06
ABHD14A-ACY1	0.832035127305046	0.00136675639951338	0.000921877191471772
ABHD14B	0.999795358072324	1.81768669560853e-06	1.22602967618795e-06
ABHD15	0.999954558360189	4.03657454691845e-07	2.72266953189649e-07
ABHD15-AS1	0.760001225140206	0.00187612101981024	0.00126544362786201
ABHD16A	0.995609201137037	3.89186614672843e-05	2.62506371596832e-05
ABHD16B	0.999778673932175	1.96586348200564e-06	1.3259749186128e-06
ABHD17A	0.995772900529602	3.74707549541919e-05	2.52740242166024e-05
ABHD17AP1	0.34945890625131	0.003899179727383	0.00262999672611983
ABHD17AP3	0.560604636863442	0.00304570065649293	0.00205432509280448
ABHD17AP4	0.99513325416663	4.31270177418263e-05	2.90891734668619e-05
ABHD17AP5	0.978889257689858	0.000185551235252666	0.000125154308177924
ABHD17AP6	0.990492291169935	8.40572596602843e-05	5.66966216408617e-05
ABHD17AP7	0.997695522536682	2.04475187875748e-05	1.37918514222192e-05
ABHD17AP8	0.99426661088737	5.07847699989971e-05	3.42543273643236e-05
ABHD17AP9	0.997448556266498	2.26360400022203e-05	1.52680089814976e-05
ABHD17B	0.999884780850042	1.02345439814703e-06	6.90319991550175e-07
ABHD17C	0.999300101172581	6.21515706462164e-06	4.1921234400873e-06
ABHD18	0.996635583094621	2.98364719089504e-05	2.01247003025871e-05
ABHD2	0.999638425156398	3.21135660895442e-06	2.16606003273976e-06
ABHD3	0.999835310357013	1.46284858100903e-06	9.86691367890593e-07
ABHD4	0.998858394130042	1.01353109165354e-05	6.83626721320311e-06
ABHD5	0.998402098955276	1.41831146078492e-05	9.5665108029943e-06
ABHD6	0.999963617200325	3.23189367588138e-07	2.17991228438199e-07
ABHD8	0.99882048891541	1.0471639279416e-05	7.06312069396611e-06
ABI1	0.996862952738097	2.78232703584348e-05	1.87667958567643e-05
ABI1P1	0.998735906920666	1.12220790238244e-05	7.56929230156954e-06
ABI2	0.99600430147129	3.5423628203337e-05	2.38932372231508e-05
ABI3	0.999273400207742	6.45217757784704e-06	4.35199377625783e-06
ABI3BP	0.998573461159721	1.2663173907223e-05	8.5413108004219e-06
ABL1	0.999268397742384	6.49658301805808e-06	4.38194524568017e-06
ABL2	0.998982350820381	9.03536915183294e-06	6.09435649291132e-06
ABLIM1	0.999542812976934	4.06034986362255e-06	2.73870598301341e-06
ABLIM2	0.999175546537384	7.32075599287332e-06	4.93784991719305e-06
ABLIM3	0.999596750984084	3.58141454477474e-06	2.41566411045056e-06
ABO	0.999742923850307	2.28336221356447e-06	1.54012781304923e-06
ABR	0.987233657687637	0.000112681929205158	7.60039612488794e-05
ABRA	0.999721018225172	2.47790184214935e-06	1.67134479252974e-06
ABRACL	0.999818834367014	1.60918258694745e-06	1.08539365489605e-06
ABRAXAS1	0.999571337831284	3.80707045512097e-06	2.56786902197909e-06
ABRAXAS2	0.999210784138282	7.00798631904307e-06	4.72688677219455e-06
ABT1	0.998995813174105	8.91590142799867e-06	6.0137755131851e-06
ABT1P1	0.999494038235849	4.49341640072544e-06	3.03080936228931e-06
ABTB1	0.997000282192989	2.66070901937003e-05	1.79464823356509e-05
ABTB2	0.999829537929614	1.51411754552629e-06	1.02127228445748e-06
AC000032.1	0.918503456233516	0.000694449438671713	0.00046840614638407
AC000035.1	0.999909432017543	8.04495976250833e-07	5.42632535981187e-07
AC000036.1	0.999211975130086	6.99741485847388e-06	4.71975632204063e-06
AC000041.1	0.517825076667906	0.00325061247856843	0.00219253811679441
AC000058.1	0.99943109444475	5.0522574246613e-06	3.40774763293405e-06
AC000061.1	0.999881619554254	1.05153350272264e-06	7.0925934758642e-07
AC000067.1	0.994848518976839	4.56437041111787e-05	3.078667842299e-05
AC000068.1	0.999615203525371	3.41756173990125e-06	2.30514539356339e-06
AC000068.2	0.997984961279139	1.7881933081548e-05	1.20613638635042e-05
AC000068.3	0.998017170281933	1.75963863889707e-05	1.18687626193607e-05
AC000077.1	0.999179054623212	7.2896186449563e-06	4.91684777602302e-06
AC000078.1	0.999388712263491	5.42852414088414e-06	3.66153953302635e-06
AC000081.1	0.999899127946032	8.9602021839419e-07	6.04365637306881e-07
AC000089.1	0.67769808024388	0.00240168228290206	0.00161993469981744
AC000095.1	0.999241292930697	6.73718073790448e-06	4.54422840771657e-06
AC000095.2	0.983197256748228	0.000148007921150149	9.98313428157758e-05
AC000099.1	0.999967165925096	2.9166646953076e-07	1.96729033698497e-07
AC000111.1	0.999988720500199	1.00197351406521e-07	6.75831135236981e-08
AC000111.2	0.999735670286794	2.3477801830928e-06	1.58357773349609e-06
AC000111.3	0.999939543714429	5.37028312474221e-07	3.62225596763862e-07
AC000120.1	0.999541503702679	4.07197506794134e-06	2.74654718332644e-06
AC000123.1	0.99979002016236	1.8650945227783e-06	1.25800625561396e-06
AC000123.2	0.99886648163354	1.00635498287337e-05	6.78786435948087e-06
AC000123.3	0.999612243119293	3.44384942519692e-06	2.32287643729533e-06
AC000124.1	0.999633342270306	3.25649240067725e-06	2.19650412425681e-06
AC000362.1	0.999996526713472	3.08538033817227e-08	2.0810890380972e-08
AC000367.1	0.997844360559897	1.91283111415462e-05	1.29020458649729e-05
AC000372.1	0.999971499153048	2.53174771766698e-07	1.70766383556638e-07
AC000374.1	0.999440756624194	4.9664748838944e-06	3.34988730918677e-06
AC000403.1	0.999724393271812	2.44792898218319e-06	1.65112809848256e-06
AC001226.1	0.997835632177533	1.92056795246739e-05	1.29542308393925e-05
AC001226.2	0.962272384753495	0.000328819451705303	0.000221788720175227
AC002044.1	0.990673989871827	8.24583953557748e-05	5.56181876674701e-05
AC002044.2	0.999558956189767	3.91701107480394e-06	2.64202396995526e-06
AC002044.3	0.996226149491617	3.34605663404035e-05	2.25691519966021e-05
AC002056.1	0.245211086585103	0.00417452768493697	0.00281571892348999
AC002056.2	0.99997628417968	2.10669590710183e-07	1.42096638934019e-07
AC002059.1	0.999962219075589	3.35608711820626e-07	2.26368076123012e-07
AC002064.1	0.998675131203946	1.17612622699842e-05	7.93297140110437e-06
AC002064.2	1	0	0
AC002064.3	0.999864630521551	1.20243112542808e-06	8.11039794101243e-07
AC002066.1	0.999174941606335	7.32612527705797e-06	4.9414714993756e-06
AC002069.1	0.996000180067977	3.54600930407377e-05	2.39178327559776e-05
AC002069.2	0.99997990474933	1.78508094624516e-07	1.20403709824236e-07
AC002070.1	0.999325349629929	5.99102441965133e-06	4.04094597105482e-06
AC002075.1	0.9580958694105	0.000364443022822639	0.00024581681889387
AC002075.2	0.84256761852366	0.00128841672567195	0.000869037081465727
AC002076.1	0.997578984825974	2.14802991955037e-05	1.44884618073673e-05
AC002090.1	0.999779134410927	1.96177386711314e-06	1.32321647336781e-06
AC002091.1	0.995801553531742	3.72172972285121e-05	2.51030669806314e-05
AC002091.2	0.995354551625305	4.11705404914795e-05	2.7769529561503e-05
AC002094.1	0.864813580031422	0.00111971460942522	0.000755247504057314
AC002094.2	0.996695276456731	2.930797276882e-05	1.97682276325691e-05
AC002094.3	0.940635525319722	0.000511692982254706	0.000345136916530799
AC002094.4	0.998863607027017	1.00890565168486e-05	6.80506862061439e-06
AC002094.5	0.983083927632263	0.00014899767221762	0.000100498929910785
AC002101.1	0.999843944144388	1.38616532507738e-06	9.34968511764695e-07
AC002115.1	0.995383870975914	4.09112972756881e-05	2.75946700124516e-05
AC002115.2	0.999374427541967	5.55533953173282e-06	3.74707651415378e-06
AC002116.1	0.704475104024055	0.00223729673951628	0.00150905665080373
AC002116.2	0.99587491819995	3.65682973655203e-05	2.46653165730434e-05
AC002127.1	0.999978443172228	1.91491288301029e-07	1.29160873959044e-07
