Gene	broad_histology	count
ABI1	Low-grade astrocytic tumor	4
ABL1	Hematologic malignancy	17
ABR	Hematologic malignancy	9
ACAT1	Hematologic malignancy	5
ACSF3	Hematologic malignancy	16
ACTB	Hematologic malignancy	5
ACTR1A	Hematologic malignancy	6
ADAP1	Hematologic malignancy	7
ADRM1	Hematologic malignancy	4
AFDN	Hematologic malignancy	6
AFF1	Hematologic malignancy	11
AKAP6	Low-grade astrocytic tumor	5
AKAP8	Hematologic malignancy	15
AKAP9	Hematologic malignancy	4
AKT1	Hematologic malignancy	8
AKT3	Embryonal tumor	4
AKT3	Neuronal and mixed neuronal-glial tumor	4
ALK	Diffuse astrocytic and oligodendroglial tumor	5
ANKHD1-EIF4EBP3	Hematologic malignancy	4
ANKIB1	Diffuse astrocytic and oligodendroglial tumor	4
ANKLE2	Hematologic malignancy	9
ANKRD11	Hematologic malignancy	19
ANKRD66	Ependymal tumor	6
ANP32A	Hematologic malignancy	9
AP3D1	Hematologic malignancy	7
ARAP1	Hematologic malignancy	7
ARAP2	Hematologic malignancy	4
ARHGAP35	Hematologic malignancy	8
ARHGEF18	Hematologic malignancy	21
ARHGEF2	Hematologic malignancy	5
ARHGEF7	Hematologic malignancy	4
ARID1B	Diffuse astrocytic and oligodendroglial tumor	4
ARID3A	Hematologic malignancy	4
ARID5A	Hematologic malignancy	10
ARID5B	Hematologic malignancy	4
ASPSCR1	Hematologic malignancy	10
ASXL1	Hematologic malignancy	23
ATG4B	Hematologic malignancy	8
ATG4D	Hematologic malignancy	12
ATP6V0C	Hematologic malignancy	26
ATP9B	Hematologic malignancy	4
ATRX	Hematologic malignancy	6
AUTS2	Hematologic malignancy	5
B2M	Hematologic malignancy	40
BAHCC1	Hematologic malignancy	10
BANP	Hematologic malignancy	62
BAZ1A	Hematologic malignancy	7
BAZ2B	Hematologic malignancy	10
BCAS3	Diffuse astrocytic and oligodendroglial tumor	4
BCAS3	Embryonal tumor	11
BCAS3	Hematologic malignancy	4
BCL11A	Hematologic malignancy	5
BCL11B	Hematologic malignancy	11
BCL7A	Hematologic malignancy	48
BCL9	Hematologic malignancy	4
BCR	Hematologic malignancy	14
BID	Hematologic malignancy	4
BIRC6	Hematologic malignancy	12
BPTF	Hematologic malignancy	5
BRAF	Diffuse astrocytic and oligodendroglial tumor	6
BRAF	Hematologic malignancy	4
BRAF	Low-grade astrocytic tumor	199
BRAF	Neuronal and mixed neuronal-glial tumor	6
BRD1	Hematologic malignancy	74
BRD4	Hematologic malignancy	13
BRF1	Hematologic malignancy	8
BRK1	Diffuse astrocytic and oligodendroglial tumor	4
BSG	Hematologic malignancy	11
C7orf50	Hematologic malignancy	11
CALM1	Hematologic malignancy	5
CALM2	Hematologic malignancy	6
CAMK2A	Hematologic malignancy	4
CAMKK1	Hematologic malignancy	13
CANT1	Hematologic malignancy	27
CAPZA2	Diffuse astrocytic and oligodendroglial tumor	5
CARHSP1	Hematologic malignancy	7
CBFA2T3	Hematologic malignancy	123
CBFB	Hematologic malignancy	29
CBWD2	Hematologic malignancy	4
CBX4	Hematologic malignancy	7
CCDC50	Low-grade astrocytic tumor	4
CCDC62	Diffuse astrocytic and oligodendroglial tumor	5
CCND3	Hematologic malignancy	6
CD74	Hematologic malignancy	6
CD81	Hematologic malignancy	41
CDK14	Diffuse astrocytic and oligodendroglial tumor	4
CDK14	Low-grade astrocytic tumor	4
CDK2AP1	Hematologic malignancy	39
CDK6	Hematologic malignancy	5
CENPC	Hematologic malignancy	4
CEP295NL	Hematologic malignancy	23
CHFR	Hematologic malignancy	8
CHST11	Hematologic malignancy	10
CIC	Hematologic malignancy	4
CIITA	Hematologic malignancy	4
CIRBP	Hematologic malignancy	4
CLDN15	Hematologic malignancy	4
CLEC16A	Hematologic malignancy	4
CLK1	Hematologic malignancy	5
CLK3	Hematologic malignancy	4
CMTM3	Hematologic malignancy	4
COLGALT1	Hematologic malignancy	18
COPE	Hematologic malignancy	17
CPSF6	Hematologic malignancy	4
CREB3	Hematologic malignancy	7
CREBBP	Hematologic malignancy	10
CRK	Hematologic malignancy	15
CRTC1	Hematologic malignancy	10
CS	Hematologic malignancy	4
CSNK1D	Hematologic malignancy	20
CSNK1G2	Hematologic malignancy	9
CTBP1	Hematologic malignancy	9
CTDP1	Hematologic malignancy	48
CTNNA2	Low-grade astrocytic tumor	9
CTNND2	Embryonal tumor	5
CTNND2	Low-grade astrocytic tumor	6
CUL3	Hematologic malignancy	8
CUL5	Hematologic malignancy	5
CUX1	Diffuse astrocytic and oligodendroglial tumor	4
CUX1	Hematologic malignancy	4
CXCR4	Hematologic malignancy	104
CYRIA	Embryonal tumor	7
CYTH1	Hematologic malignancy	5
DAZAP1	Hematologic malignancy	6
DCUN1D4	Diffuse astrocytic and oligodendroglial tumor	4
DDX1	Embryonal tumor	14
DDX3X	Hematologic malignancy	7
DDX5	Hematologic malignancy	28
DENR	Diffuse astrocytic and oligodendroglial tumor	5
DGKD	Hematologic malignancy	9
DIDO1	Hematologic malignancy	5
DNER	Low-grade astrocytic tumor	4
DNM2	Hematologic malignancy	10
DOP1B	Hematologic malignancy	4
DOT1L	Hematologic malignancy	38
DST	Diffuse astrocytic and oligodendroglial tumor	4
DYNC1H1	Hematologic malignancy	4
EBF1	Hematologic malignancy	4
EDF1	Hematologic malignancy	8
EEF1D	Hematologic malignancy	10
EHMT1	Hematologic malignancy	8
EIF4A1	Hematologic malignancy	75
EIF5A	Hematologic malignancy	12
ELF1	Hematologic malignancy	7
ELF2	Hematologic malignancy	6
ELK4	Diffuse astrocytic and oligodendroglial tumor	11
ELK4	Embryonal tumor	10
ELK4	Hematologic malignancy	38
ELK4	Low-grade astrocytic tumor	16
ELL	Hematologic malignancy	20
EMID1	Hematologic malignancy	9
ENSG00000144785	Hematologic malignancy	4
ENSG00000266086	Hematologic malignancy	5
ENSG00000271793	Hematologic malignancy	29
ENSG00000273734	Hematologic malignancy	19
ENSG00000284299	Low-grade astrocytic tumor	4
ENSG00000285245	Hematologic malignancy	11
ENSG00000285827	Hematologic malignancy	4
ENSG00000286192	Hematologic malignancy	4
EP300	Hematologic malignancy	11
EPS15	Hematologic malignancy	4
EPS15L1	Hematologic malignancy	12
ERBB4	Low-grade astrocytic tumor	5
ERC1	Embryonal tumor	6
ERC2	Low-grade astrocytic tumor	4
ERF	Hematologic malignancy	4
ERG	Hematologic malignancy	7
ERICH1	Hematologic malignancy	6
ETV6	Diffuse astrocytic and oligodendroglial tumor	5
ETV6	Hematologic malignancy	32
EWSR1	Hematologic malignancy	17
EWSR1	Mesenchymal non-meningothelial tumor	9
EXOC4	Diffuse astrocytic and oligodendroglial tumor	5
EXOC4	Embryonal tumor	4
EZR	Hematologic malignancy	6
FAM131B	Low-grade astrocytic tumor	4
FAM53B	Hematologic malignancy	6
FAM83D	Hematologic malignancy	6
FAT1	Hematologic malignancy	4
FBRSL1	Hematologic malignancy	29
