gene_symbol	ensembl	version
DDX11L1	ENSG00000223972	v39
WASH7P	ENSG00000227232	v39
MIR6859-1	ENSG00000278267	v39
MIR1302-2HG	ENSG00000243485	v39
MIR1302-2	ENSG00000284332	v39
FAM138A	ENSG00000237613	v39
OR4G4P	ENSG00000268020	v39
OR4G11P	ENSG00000240361	v39
OR4F5	ENSG00000186092	v39
ENSG00000238009	ENSG00000238009	v39
ENSG00000239945	ENSG00000239945	v39
CICP27	ENSG00000233750	v39
ENSG00000268903	ENSG00000268903	v39
ENSG00000269981	ENSG00000269981	v39
ENSG00000239906	ENSG00000239906	v39
ENSG00000241860	ENSG00000241860	v39
RNU6-1100P	ENSG00000222623	v39
ENSG00000241599	ENSG00000241599	v39
DDX11L17	ENSG00000279928	v39
WASH9P	ENSG00000279457	v39
MIR6859-2	ENSG00000273874	v39
ENSG00000228463	ENSG00000228463	v39
ENSG00000286448	ENSG00000286448	v39
RPL23AP24	ENSG00000236679	v39
ENSG00000236601	ENSG00000236601	v39
ENSG00000237094	ENSG00000237094	v39
WBP1LP7	ENSG00000269732	v39
OR4F29	ENSG00000284733	v39
CICP7	ENSG00000233653	v39
ENSG00000250575	ENSG00000250575	v39
U6	ENSG00000278757	v39
ENSG00000230021	ENSG00000230021	v39
ENSG00000235146	ENSG00000235146	v39
MTND1P23	ENSG00000225972	v39
MTND2P28	ENSG00000225630	v39
MTCO1P12	ENSG00000237973	v39
ENSG00000278791	ENSG00000278791	v39
MTCO2P12	ENSG00000229344	v39
MTATP8P1	ENSG00000240409	v39
MTATP6P1	ENSG00000248527	v39
MTCO3P12	ENSG00000198744	v39
WBP1LP6	ENSG00000268663	v39
OR4F16	ENSG00000284662	v39
CICP3	ENSG00000229376	v39
ENSG00000228327	ENSG00000228327	v39
RNU6-1199P	ENSG00000223181	v39
ENSG00000229905	ENSG00000229905	v39
LINC01409	ENSG00000237491	v39
ENSG00000285268	ENSG00000285268	v39
ENSG00000230092	ENSG00000230092	v39
FAM87B	ENSG00000177757	v39
LINC01128	ENSG00000228794	v39
LINC00115	ENSG00000225880	v39
ENSG00000288531	ENSG00000288531	v39
FAM41C	ENSG00000230368	v39
TUBB8P11	ENSG00000234711	v39
ENSG00000283040	ENSG00000283040	v39
ENSG00000272438	ENSG00000272438	v39
ENSG00000230699	ENSG00000230699	v39
