Kids_First_Participant_ID	sample_id	cohort	Kids_First_Biospecimen_ID_DNA	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_Methyl	molecular_subtype	molecular_subtype_methyl	match_id
Maris_P0001	SH-SY5Y	Maris	NA	MARIS_HEMEDKRG	NA	NBL, MYCN non-amplified	NA	Maris_P0001_SH-SY5Y_Derived Cell Line_Progressive_NA_NA
Maris_P0001	SK-N-SH	Maris	NA	MARIS_M10LINIO	NA	NBL, MYCN non-amplified	NA	Maris_P0001_SK-N-SH_Derived Cell Line_Progressive_NA_NA
Maris_P0002	SK-N-BE2	Maris	NA	MARIS_JE9T5LOF	NA	NBL, MYCN amplified	NA	Maris_P0002_SK-N-BE2_Derived Cell Line_Progressive_NA_NA
Maris_P0002	SK-N-BE2-C	Maris	NA	MARIS_WQRZBZ4G	NA	NBL, MYCN amplified	NA	Maris_P0002_SK-N-BE2-C_Derived Cell Line_Progressive_NA_NA
Maris_P0003	CHP-134	Maris	NA	MARIS_7NZCWMJE	NA	NBL, MYCN amplified	NA	Maris_P0003_CHP-134_Derived Cell Line_Progressive_NA_NA
Maris_P0004	CHP-212	Maris	NA	MARIS_SXL48UGF	NA	NBL, MYCN amplified	NA	Maris_P0004_CHP-212_Derived Cell Line_Unknown_NA_NA
Maris_P0005	IMR-32	Maris	NA	MARIS_NMSC6BVZ	NA	NBL, MYCN amplified	NA	Maris_P0005_IMR-32_Derived Cell Line_Progressive_NA_NA
Maris_P0005	IMR-05	Maris	NA	MARIS_VX4JCU78	NA	NBL, MYCN amplified	NA	Maris_P0005_IMR-05_Derived Cell Line_Progressive_NA_NA
Maris_P0006	KELLY	Maris	NA	MARIS_X2ET87GI	NA	NBL, MYCN amplified	NA	Maris_P0006_KELLY_Derived Cell Line_Unknown_NA_NA
Maris_P0007	COG-N-534	Maris	NA	MARIS_54FAKEIN	NA	NBL, MYCN non-amplified	NA	Maris_P0007_COG-N-534_Derived Cell Line_Unknown_NA_NA
Maris_P0008	COG-N-573	Maris	NA	MARIS_6UV3BJAL	NA	NBL, MYCN amplified	NA	Maris_P0008_COG-N-573_Derived Cell Line_Unknown_NA_NA
Maris_P0009	LA-N-5	Maris	NA	MARIS_HK31CBVO	NA	NBL, MYCN amplified	NA	Maris_P0009_LA-N-5_Derived Cell Line_Progressive_NA_NA
Maris_P0010	LA-N-6	Maris	NA	MARIS_LJRX2KUQ	NA	NBL, MYCN non-amplified	NA	Maris_P0010_LA-N-6_Derived Cell Line_Progressive_NA_NA
