stripped_subtype	cancer_group
Acute Promyelocytic Leukemia	Acute Myeloid Leukemia
Adamantinomatous craniopharyngioma	Adamantinomatous Craniopharyngioma
Adenoma	NA
Aneurismal bone cyst (abc) with col1a1-usp6 fusion	Aneurismal bone cyst
Aneurysmal bone cyst (abc)	Aneurysmal bone cyst
Aplastic anemia	NA
Arteriovenous malformation	NA
Atypical Lymph Node	NA
Atypical Teratoid Rhabdoid Tumor (ATRT)	Atypical Teratoid Rhabdoid Tumor
Atypical lymphoid infiltrate	NA
Benign Neoplasm	NA
Brain Lower Grade Glioma	Low-grade glioma
Brainstem glioma- Diffuse intrinsic pontine glioma	Diffuse intrinsic pontine glioma
Cavernoma	NA
Cholesterol granuloma	NA
Chondroma	NA
Clear Cell Sarcoma of the Kidney	Clear cell sarcoma of the kidney
Cranial fasciitis	NA
Dermoid cyst	NA
Diffuse hemispheric glioma	Astrocytoma
Dysembryoplastic neuroepithelial tumor (DNET)	Dysembryoplastic neuroepithelial tumor
Dysembryoplastic neuroepithelial tumor (DNET);Dysplasia/Gliosis;Ganglioglioma	NA
Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	NA
Dysplasia/Gliosis	NA
Ependymoma;Metastatic secondary tumors	NA
Epidermoid cyst	NA
Epilepsy	NA
Fibroma	NA
Fibromixoid lesion	Fibromyxoid lesion
Giant Cell Granuloma	NA
Giant cell tumor of bone	NA
Glioblastoma Multiforme Pathway	NA
Gliomatosis Cerebri;High-grade glioma/astrocytoma (WHO grade III/IV)	NA
Hamartoma	NA
Hemangioma	NA
Hematoma	NA
High-grade glioma	Astrocytoma;Oligoastrocytoma
High-grade glioma	Glioblastoma
High-grade glioma/astrocytoma (WHO grade III/IV)	High-grade glioma
High-grade glioma/astrocytoma (WHO grade III/IV);Neurofibroma/Plexiform	NA
High-grade glioma/astrocytoma (WHO grade III/IV);Oligodendroglioma	NA
Histiocytic Tumor	Histiocytic tumor
Inclusion cyst	NA
Inflammatory lesion	NA
Kidney Chromophobe	Chromophobe renal cell carcinoma
Kidney Renal Clear Cell Carcinoma	Renal Clear Cell Carcinoma
Kidney Renal Papillary Cell Carcinoma	Renal Papillary Cell Carcinoma
Lipoblastoma	NA
Lipoma	NA
Low-grade glioma/astrocytoma (WHO grade I/II)	Low-grade glioma
Lymphadenitis	NA
Malignant peripheral nerve sheath tumor (MPNST)	Malignant peripheral nerve sheath tumor
Malignant peripheral nerve sheath tumor (MPNST);Neurofibroma/Plexiform	NA
Melanocytoma	Melanocytic tumor
Meningioma;Neurofibroma/Plexiform	NA
Meningioma;Schwannoma	NA
Microcytic Anemia	NA
Mixed Lineage Leukemia	Acute Lymphoblastic Leukemia
Myofibroblastic tumor	Inflammatory Myofibroblastic Tumor
Myofibroma	NA
Myxopapillary ependymoma	Ependymoma
Necrotizing myelopathy	NA
Neuroepithelial neoplasm with EWSR1--PLAG1 fusion	Glial-neuronal tumor
Neurofibroma/Plexiform;Schwannoma	NA
Non-Cancer Diagnosis	NA
Non-cancer diagnosis	NA
Non-germinomatous germ cell tumor;Teratoma	NA
Nonintractable epilepsy without status epilepticus	NA
Ossifying fibroma	NA
Osteoblastoma	NA
Osteoma	NA
Other	Astroblastoma
Other	Juvenile xanthogranuloma
Pilomatricoma	NA
Post-Transplant Lymphoproliferative Disorder	NA
Posterior fossa group A (PFA) ependymoma	Ependymoma
Posterior fossa group B (PFB) ependymoma	Ependymoma
Posterior fossa subependymoma	Ependymoma
Rosai-dorfman	Rosai-Dorfman disease
Spinal ependymoma	Ependymoma
Spinal subependymoma	Ependymoma
Spinocerebellar ataxia type 7	NA
Subependymal Giant Cell Astrocytoma (SEGA)	Subependymal Giant Cell Astrocytoma
Supratentorial ependymoma	Ependymoma
