Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
CTNNB1	0	0	0	22	0	0	0	22	22	22	22	100
PHLPP1	0	0	3	0	0	0	0	3	3	3	22	13.636363636363635
TM6SF1	3	0	0	0	0	0	0	3	3	3	22	13.636363636363635
AGAP9	0	0	0	2	0	0	0	2	2	2	22	9.090909090909092
DNAH5	2	0	0	0	0	0	0	2	2	2	22	9.090909090909092
FASN	0	0	0	2	0	0	0	2	2	2	22	9.090909090909092
HLA-B	0	0	0	2	0	0	0	2	2	2	22	9.090909090909092
KIR2DL3	0	0	0	2	0	0	0	2	2	2	22	9.090909090909092
KRTAP5-3	0	0	0	2	0	0	0	2	2	2	22	9.090909090909092
MANSC1	2	0	0	0	0	0	0	2	2	2	22	9.090909090909092
MUC5AC	0	0	0	2	0	0	0	2	2	2	22	9.090909090909092
REST	1	0	0	1	0	0	0	2	2	2	22	9.090909090909092
SOX1	2	0	0	0	0	0	0	2	2	2	22	9.090909090909092
ZNF436	0	0	1	1	0	0	0	2	2	2	22	9.090909090909092
MUC17	0	0	0	4	0	0	0	4	1	1	22	4.545454545454546
APOBR	0	0	0	2	0	0	0	2	1	1	22	4.545454545454546
DEFA4	1	0	1	0	0	0	0	2	1	1	22	4.545454545454546
LARGE1	0	1	0	1	0	0	0	2	1	1	22	4.545454545454546
PHF14	0	0	0	1	1	0	0	2	1	1	22	4.545454545454546
SOD1	2	0	0	0	0	0	0	2	1	1	22	4.545454545454546
ZNF433	0	0	0	2	0	0	0	2	1	1	22	4.545454545454546
ABCA9	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
AC233724.16	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
ADGRB2	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
AGFG1	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
AHNAK2	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
AIP	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
ANKRD20A4	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
ANKRD50	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
ANKRD52	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
APOLD1	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
AQP12A	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
ARHGAP18	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
ASXL2	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
ATP7A	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
AURKA	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
AVEN	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
BAZ2B	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
BCLAF1	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
BICRA	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
BRWD1	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
BSN	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
BTN2A1	0	0	1	0	0	0	0	1	1	1	22	4.545454545454546
C16orf58	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
C2CD3	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
C2CD4D	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
C5orf60	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
CABP1	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
CACNA2D1	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
CAGE1	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
CAMSAP3	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
CARS2	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
CASR	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
CBX4	0	0	0	0	0	1	0	1	1	1	22	4.545454545454546
CCAR2	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
CCDC14	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
CCDC57	0	0	1	0	0	0	0	1	1	1	22	4.545454545454546
CCT2	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
CENPB	0	0	0	0	0	0	1	1	1	1	22	4.545454545454546
CHAF1A	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
CHIC1	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
CNDP2	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
CNTNAP3B	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
CSNK1G3	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
CUL5	0	0	0	0	0	1	0	1	1	1	22	4.545454545454546
CUX1	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
DCLK3	0	0	0	1	0	0	0	1	1	1	22	4.545454545454546
DIP2B	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
DLST	1	0	0	0	0	0	0	1	1	1	22	4.545454545454546
