Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
PHLPP1	0	0	3	0	0	0	0	3	3	3	17	17.647058823529413
PLEKHH3	3	0	0	0	0	0	0	3	3	3	17	17.647058823529413
ZNF696	0	0	0	3	0	0	0	3	2	2	17	11.76470588235294
MUC4	0	0	0	2	0	0	0	2	2	2	17	11.76470588235294
P3H3	0	0	0	2	0	0	0	2	2	2	17	11.76470588235294
RAMP2	0	0	2	0	0	0	0	2	2	2	17	11.76470588235294
RUSC2	0	0	0	2	0	0	0	2	2	2	17	11.76470588235294
SLC10A4	0	0	0	2	0	0	0	2	2	2	17	11.76470588235294
SUSD2	0	0	0	2	0	0	0	2	2	2	17	11.76470588235294
TNRC18	0	0	1	1	0	0	0	2	2	2	17	11.76470588235294
IMPAD1	0	0	0	2	0	0	0	2	1	1	17	5.88235294117647
ABCC1	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
AC116565.1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ADAMTS2	0	0	1	0	0	0	0	1	1	1	17	5.88235294117647
AHNAK2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ANKRD36	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ANKRD63	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ARMCX4	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ATPAF1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
B4GALNT2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
BCKDK	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
BEND5	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
BRI3BP	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
C10orf142	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
C11orf95	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
C1QL3	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
CACNA1E	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
CACNA2D3	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
CBFA2T3	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
CDHR5	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
CTSV	0	0	0	0	1	0	0	1	1	1	17	5.88235294117647
CYP1B1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
DDX56	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ECEL1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
EMX1	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
EPHA10	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ERFE	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
F2R	0	0	0	0	0	0	1	1	1	1	17	5.88235294117647
FAM186B	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
FAM219A	0	0	0	0	0	0	1	1	1	1	17	5.88235294117647
FAM47A	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
FLG2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
FN1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
FSCB	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
GATAD1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
GOLGA6L6	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
GSR	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
HCN1	0	0	0	0	0	0	1	1	1	1	17	5.88235294117647
HLA-A	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
HPDL	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
HRC	0	0	1	0	0	0	0	1	1	1	17	5.88235294117647
HRCT1	0	0	1	0	0	0	0	1	1	1	17	5.88235294117647
HSD11B1L	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
IRAK1	0	0	0	0	0	0	1	1	1	1	17	5.88235294117647
IRF2BPL	0	0	1	0	0	0	0	1	1	1	17	5.88235294117647
IRF6	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
IRX1	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
JSRP1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
KCNC2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
KCNK16	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
KIF16B	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
KIF26A	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
KL	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
LDLRAD2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
LHFPL2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
LKAAEAR1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
MACROD1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
MAGEB6	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
MAN2C1	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
MAP3K20	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
MAP3K9	0	0	1	0	0	0	0	1	1	1	17	5.88235294117647
MC3R	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
MELTF	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
MINDY2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
MKI67	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
MLLT6	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
MROH8	0	1	0	0	0	0	0	1	1	1	17	5.88235294117647
