Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
AHNAK2	0	0	0	0	3	0	0	0	3	3	3	13	23.076923076923077
CENPB	0	0	0	0	0	0	0	3	3	3	3	13	23.076923076923077
NKX2-3	2	0	0	0	0	0	0	0	2	2	2	13	15.384615384615385
RPL10	0	0	0	0	2	0	0	0	2	2	2	13	15.384615384615385
FGFR1	0	0	0	0	2	0	0	0	2	1	1	13	7.6923076923076925
LILRB2	0	0	0	0	2	0	0	0	2	1	1	13	7.6923076923076925
ADAMTS17	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
AHNAK	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AKAP17A	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AKT3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AL133304.3	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
ALX3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ANKRD18B	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AP005019.3	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
APBA1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
C11orf96	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CNTNAP3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
DEAF1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
DNAJC14	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
DUSP27	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
EDC4	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
EIF4G3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ELP5	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
EPO	0	0	0	0	0	0	0	1	1	1	1	13	7.6923076923076925
FKBP11	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
FLG2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GLI4	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
GOLGA6L10	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GOLGA8S	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GTF2IRD2B	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GZF1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
HCN1	0	0	0	0	0	0	0	1	1	1	1	13	7.6923076923076925
HEPACAM2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
HOXD9	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
IGFN1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
IGHV3-21	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
IRX2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
KLF18	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
LAIR1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
LAMB2	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
LEMD3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
LMO1	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
MAFA	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MAN1B1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MARCKS	0	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
MMP9	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
MTX1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MUC3A	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NBPF9	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NCOA6	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
NEK3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NF1	0	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
NPIPA1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NXPH2	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
NYNRIN	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
OTOF	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
PIK3CA	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PLEKHH3	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
PRSS3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
RAMP2	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
RASA4	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
RHOU	0	0	0	0	0	0	0	1	1	1	1	13	7.6923076923076925
RNPEPL1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
RSPH1	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
SALL1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
SETX	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
SPDYE1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
STIMATE	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
STXBP5	0	0	0	0	0	0	0	1	1	1	1	13	7.6923076923076925
TAF1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TCL1B	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
THEMIS2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TIMM13	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TRIM51	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TUBB8P12	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
UGT2B11	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
UNCX	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
USP40	0	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
WDR26	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
