Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
STAG2	0	1	0	0	2	0	0	3	2	2	7	28.57142857142857
AFF2	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
ANKHD1-EIF4EBP3	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
ARHGAP12	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
ARL6IP4	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
C19orf25	1	0	0	0	0	0	0	1	1	1	7	14.285714285714285
C1QTNF2	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
C3orf85	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
CAPRIN1	0	1	0	0	0	0	0	1	1	1	7	14.285714285714285
CC2D2B	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
CENPB	0	0	0	0	0	0	1	1	1	1	7	14.285714285714285
CKAP4	0	0	1	0	0	0	0	1	1	1	7	14.285714285714285
CPE	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
CYP2C9	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
DHX34	0	0	1	0	0	0	0	1	1	1	7	14.285714285714285
DMXL2	1	0	0	0	0	0	0	1	1	1	7	14.285714285714285
DNAH9	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
ERF	0	0	0	0	1	0	0	1	1	1	7	14.285714285714285
FAM47A	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
FCGBP	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
FOXF2	0	0	1	0	0	0	0	1	1	1	7	14.285714285714285
GABRA1	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
GLP2R	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
GTPBP1	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
IGHV3-11	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
ITM2A	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
KCNQ3	0	1	0	0	0	0	0	1	1	1	7	14.285714285714285
KIF4A	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
KIR2DL1	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
LYPD3	0	0	0	0	0	1	0	1	1	1	7	14.285714285714285
MAOB	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
MEX3D	0	0	1	0	0	0	0	1	1	1	7	14.285714285714285
MT-ND3	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
MT-ND5	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
MUC5AC	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
NBPF11	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
NF1	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
NKX2-5	0	0	1	0	0	0	0	1	1	1	7	14.285714285714285
OR1A1	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
PHACTR4	0	1	0	0	0	0	0	1	1	1	7	14.285714285714285
PLCB3	0	0	0	0	0	1	0	1	1	1	7	14.285714285714285
PLEKHA7	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
PLEKHG1	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
POLR3GL	0	0	1	0	0	0	0	1	1	1	7	14.285714285714285
PRAMEF15	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
PRSS1	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
PUS7	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
RBM25	1	0	0	0	0	0	0	1	1	1	7	14.285714285714285
RGS11	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
RHBDL3	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
RNF19B	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
RPL10	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
RPS6KB1	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
SGTA	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
SHROOM3	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
SLC4A8	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
SLC7A6	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
SNX12	0	0	0	0	0	0	1	1	1	1	7	14.285714285714285
SOX1	0	0	1	0	0	0	0	1	1	1	7	14.285714285714285
SP3	0	0	0	0	0	1	0	1	1	1	7	14.285714285714285
SPHKAP	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
TCHH	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
TEPSIN	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
THPO	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
TMCC3	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
TMOD2	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
TNKS2	0	1	0	0	0	0	0	1	1	1	7	14.285714285714285
TP53	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
TTLL8	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
UGT2B7	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
WNK3	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
WWC1	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
ZNF141	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
ZNF433	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
ZNF616	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
ZNF783	0	0	0	1	0	0	0	1	1	1	7	14.285714285714285
ZSWIM6	0	0	1	0	0	0	0	1	1	1	7	14.285714285714285
