Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
TP53	3	0	0	0	20	5	0	1	0	29	20	20	46	43.47826086956522
ATRX	4	2	0	0	9	2	0	1	0	18	10	10	46	21.73913043478261
EGFR	0	0	0	1	14	0	0	0	0	15	9	9	46	19.565217391304348
NF1	5	2	0	0	4	3	0	1	0	15	9	9	46	19.565217391304348
OBSCN	0	0	0	0	29	1	0	0	0	30	8	8	46	17.391304347826086
PTEN	2	1	1	0	3	0	0	2	0	9	7	7	46	15.217391304347828
OTOP1	0	0	0	0	7	0	0	0	0	7	7	7	46	15.217391304347828
RAMP2	0	0	6	0	1	0	0	0	0	7	7	7	46	15.217391304347828
TTN	1	0	0	0	76	7	0	2	0	86	6	6	46	13.043478260869565
KMT2D	0	1	1	0	17	0	0	1	0	20	6	6	46	13.043478260869565
ATM	1	0	0	0	14	1	0	0	0	16	6	6	46	13.043478260869565
KIAA1109	0	1	0	0	13	1	0	0	0	15	6	6	46	13.043478260869565
DNAH8	1	0	0	0	11	1	0	0	0	13	6	6	46	13.043478260869565
TSC2	1	0	0	0	11	1	0	0	0	13	6	6	46	13.043478260869565
MAGEL2	0	0	0	0	10	1	0	0	0	11	6	6	46	13.043478260869565
ASCC3	0	1	0	0	6	2	0	0	0	9	6	6	46	13.043478260869565
ESPL1	0	0	2	0	7	0	0	0	0	9	6	6	46	13.043478260869565
ZAN	0	0	0	0	6	2	0	0	0	8	6	6	46	13.043478260869565
NEB	0	1	0	0	27	0	0	1	0	29	5	5	46	10.869565217391305
FSIP2	0	0	0	0	21	1	0	0	0	22	5	5	46	10.869565217391305
RYR2	0	1	0	0	18	2	0	1	0	22	5	5	46	10.869565217391305
SYNE1	0	0	0	0	21	1	0	0	0	22	5	5	46	10.869565217391305
PRKDC	0	1	0	0	18	0	0	0	0	19	5	5	46	10.869565217391305
AHNAK2	0	0	0	0	16	2	0	0	0	18	5	5	46	10.869565217391305
FN1	0	0	0	0	16	0	0	1	0	17	5	5	46	10.869565217391305
APC2	0	0	0	0	16	0	0	0	0	16	5	5	46	10.869565217391305
BSN	0	0	0	0	13	3	0	0	0	16	5	5	46	10.869565217391305
SETD1B	2	3	0	0	11	0	0	0	0	16	5	5	46	10.869565217391305
SSPO	0	0	0	0	16	0	0	0	0	16	5	5	46	10.869565217391305
ADCY9	0	0	0	0	15	0	0	0	0	15	5	5	46	10.869565217391305
DNAH7	2	1	0	0	12	0	0	0	0	15	5	5	46	10.869565217391305
GLI2	0	0	0	0	15	0	0	0	0	15	5	5	46	10.869565217391305
ABCA13	0	0	0	0	14	0	0	0	0	14	5	5	46	10.869565217391305
DNAH5	0	0	0	0	11	2	0	1	0	14	5	5	46	10.869565217391305
SMARCA4	0	0	0	0	13	0	0	1	0	14	5	5	46	10.869565217391305
VPS13D	0	0	0	0	13	1	0	0	0	14	5	5	46	10.869565217391305
DNHD1	0	0	0	0	10	2	0	1	0	13	5	5	46	10.869565217391305
KIAA1549	0	1	0	0	11	0	0	1	0	13	5	5	46	10.869565217391305
LAMA3	0	0	0	0	13	0	0	0	0	13	5	5	46	10.869565217391305
LRP1	0	0	0	0	13	0	0	0	0	13	5	5	46	10.869565217391305
NAV2	0	0	0	0	13	0	0	0	0	13	5	5	46	10.869565217391305
SDK2	0	0	0	0	11	2	0	0	0	13	5	5	46	10.869565217391305
BRPF1	0	0	0	0	12	0	0	0	0	12	5	5	46	10.869565217391305
DNAH14	0	0	0	0	12	0	0	0	0	12	5	5	46	10.869565217391305
DNAH6	0	1	0	0	11	0	0	0	0	12	5	5	46	10.869565217391305
HELZ2	1	1	0	0	10	0	0	0	0	12	5	5	46	10.869565217391305
HUWE1	0	0	0	0	10	0	0	2	0	12	5	5	46	10.869565217391305
MYO7B	0	0	0	0	11	1	0	0	0	12	5	5	46	10.869565217391305
PCLO	0	0	0	0	11	1	0	0	0	12	5	5	46	10.869565217391305
SETD2	1	1	0	0	7	2	0	1	0	12	5	5	46	10.869565217391305
TNC	0	0	0	0	11	0	0	1	0	12	5	5	46	10.869565217391305
APOB	0	0	0	0	10	1	0	0	0	11	5	5	46	10.869565217391305
CCDC168	0	0	0	0	11	0	0	0	0	11	5	5	46	10.869565217391305
DNAH9	0	0	0	0	8	2	0	1	0	11	5	5	46	10.869565217391305
RERE	0	0	0	0	10	1	0	0	0	11	5	5	46	10.869565217391305
SPTBN2	0	0	0	0	10	0	0	1	0	11	5	5	46	10.869565217391305
TRPM3	0	1	0	0	9	1	0	0	0	11	5	5	46	10.869565217391305
HIVEP1	0	1	1	0	6	2	0	0	0	10	5	5	46	10.869565217391305
PHLPP1	0	0	2	0	8	0	0	0	0	10	5	5	46	10.869565217391305
PLCB3	0	0	0	0	10	0	0	0	0	10	5	5	46	10.869565217391305
ZNF292	0	1	0	0	7	2	0	0	0	10	5	5	46	10.869565217391305
FBN2	0	0	0	0	7	2	0	0	0	9	5	5	46	10.869565217391305
GNAS	0	0	0	0	7	0	0	2	0	9	5	5	46	10.869565217391305
GREB1L	0	0	0	0	8	1	0	0	0	9	5	5	46	10.869565217391305
KIF7	0	0	0	0	8	1	0	0	0	9	5	5	46	10.869565217391305
NHSL1	0	0	0	0	9	0	0	0	0	9	5	5	46	10.869565217391305
TNRC18	0	1	1	0	7	0	0	0	0	9	5	5	46	10.869565217391305
HCFC1	0	0	0	0	7	0	0	1	0	8	5	5	46	10.869565217391305
IQSEC1	1	0	0	0	7	0	0	0	0	8	5	5	46	10.869565217391305
KIF26B	1	0	0	0	7	0	0	0	0	8	5	5	46	10.869565217391305
PRRC2C	1	0	0	0	6	1	0	0	0	8	5	5	46	10.869565217391305
SPEG	0	0	0	0	8	0	0	0	0	8	5	5	46	10.869565217391305
TNRC6B	0	0	0	0	7	1	0	0	0	8	5	5	46	10.869565217391305
ACACB	0	0	0	0	7	0	0	0	0	7	5	5	46	10.869565217391305
ALMS1	1	1	0	0	5	0	0	0	0	7	5	5	46	10.869565217391305
BCOR	2	0	0	0	2	2	0	1	0	7	5	5	46	10.869565217391305
COL18A1	0	0	0	0	7	0	0	0	0	7	5	5	46	10.869565217391305
PARP14	1	0	0	0	6	0	0	0	0	7	5	5	46	10.869565217391305
PITRM1	0	0	0	0	6	1	0	0	0	7	5	5	46	10.869565217391305
SREBF2	0	1	0	0	5	0	0	1	0	7	5	5	46	10.869565217391305
UBR1	0	0	0	0	7	0	0	0	0	7	5	5	46	10.869565217391305
ZNF407	0	0	0	0	7	0	0	0	0	7	5	5	46	10.869565217391305
FGFR1	0	0	0	0	5	0	0	1	0	6	5	5	46	10.869565217391305
IQCE	0	0	0	0	5	1	0	0	0	6	5	5	46	10.869565217391305
IRS4	0	2	0	0	4	0	0	0	0	6	5	5	46	10.869565217391305
MYO1F	1	0	0	0	5	0	0	0	0	6	5	5	46	10.869565217391305
PAK5	0	0	0	0	6	0	0	0	0	6	5	5	46	10.869565217391305
PCDHB1	0	0	0	0	6	0	0	0	0	6	5	5	46	10.869565217391305
PDGFRA	0	0	0	0	5	0	0	1	0	6	5	5	46	10.869565217391305
PIK3CA	0	0	1	0	5	0	0	0	0	6	5	5	46	10.869565217391305
RPS6	0	0	0	0	5	0	0	1	0	6	5	5	46	10.869565217391305
CUX1	0	0	0	0	5	0	0	0	0	5	5	5	46	10.869565217391305
FUT4	0	0	0	0	5	0	0	0	0	5	5	5	46	10.869565217391305
MAP3K6	0	0	0	0	5	0	0	0	0	5	5	5	46	10.869565217391305
PIK3R1	0	0	1	0	2	1	0	1	0	5	5	5	46	10.869565217391305
PLEC	0	0	0	0	29	2	0	0	0	31	4	4	46	8.695652173913043
FLNA	0	1	0	0	11	0	0	16	0	28	4	4	46	8.695652173913043
MUC16	1	0	0	0	17	3	0	0	0	21	4	4	46	8.695652173913043
DST	0	0	0	0	17	0	0	2	0	19	4	4	46	8.695652173913043
DNAH17	0	0	0	0	16	2	0	0	0	18	4	4	46	8.695652173913043
RYR1	0	0	0	0	18	0	0	0	0	18	4	4	46	8.695652173913043
ABCA2	0	0	0	0	15	1	0	0	0	16	4	4	46	8.695652173913043
MUC5B	0	0	0	0	16	0	0	0	0	16	4	4	46	8.695652173913043
SPTBN5	0	0	0	0	16	0	0	0	0	16	4	4	46	8.695652173913043
ADGRV1	0	0	0	0	14	1	0	0	0	15	4	4	46	8.695652173913043
AHNAK	0	0	0	0	15	0	0	0	0	15	4	4	46	8.695652173913043
