Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
NF2	2	0	0	0	2	0	1	0	5	5	5	13	38.46153846153847
LILRB3	0	0	0	3	0	0	0	0	3	2	2	13	15.384615384615385
GOLGA6L6	0	0	0	2	0	0	0	0	2	2	2	13	15.384615384615385
KL	0	0	0	2	0	0	0	0	2	2	2	13	15.384615384615385
MT-ND4L	0	0	0	1	0	0	0	1	2	2	2	13	15.384615384615385
MYH4	0	0	0	2	0	0	0	0	2	2	2	13	15.384615384615385
NBPF26	0	0	0	2	0	0	0	0	2	2	2	13	15.384615384615385
NKX2-3	2	0	0	0	0	0	0	0	2	2	2	13	15.384615384615385
PRDM13	0	0	1	1	0	0	0	0	2	2	2	13	15.384615384615385
RAMP2	0	0	2	0	0	0	0	0	2	2	2	13	15.384615384615385
RHBDF1	0	0	0	2	0	0	0	0	2	2	2	13	15.384615384615385
SMARCE1	0	0	0	1	0	0	1	0	2	2	2	13	15.384615384615385
MUC17	0	0	0	3	0	0	0	0	3	1	1	13	7.6923076923076925
GRSF1	1	0	0	1	0	0	0	0	2	1	1	13	7.6923076923076925
ABCA13	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ABCD3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ABCD4	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
AC100781.1	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
ADAM29	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
AHNAK2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
AKAP10	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
AKT1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ALPK3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
AMOT	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
