Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
PHLPP1	0	0	3	0	0	0	0	3	3	3	15	20
PLEKHH3	3	0	0	0	0	0	0	3	3	3	15	20
ZNF696	0	0	0	3	0	0	0	3	2	2	15	13.333333333333334
P3H3	0	0	0	2	0	0	0	2	2	2	15	13.333333333333334
RAMP2	0	0	2	0	0	0	0	2	2	2	15	13.333333333333334
RUSC2	0	0	0	2	0	0	0	2	2	2	15	13.333333333333334
IMPAD1	0	0	0	2	0	0	0	2	1	1	15	6.666666666666667
ABCC1	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
ADAMTS2	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
AHNAK2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
ANKRD36	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
ATPAF1	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
BCKDK	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
BEND5	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
C10orf142	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
CACNA1E	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
CACNA2D3	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
CDHR5	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
CTSV	0	0	0	0	1	0	0	1	1	1	15	6.666666666666667
DDX56	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
EMX1	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
EPHA10	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
ERFE	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
F2R	0	0	0	0	0	0	1	1	1	1	15	6.666666666666667
FAM47A	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
FLG2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
FN1	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
GOLGA6L6	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
HCN1	0	0	0	0	0	0	1	1	1	1	15	6.666666666666667
HLA-A	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
HRC	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
HRCT1	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
HSD11B1L	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
IRF2BPL	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
IRF6	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
IRX1	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
JSRP1	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
KCNK16	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
KL	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
LDLRAD2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
LHFPL2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
MAGEB6	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
MAN2C1	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
MAP3K9	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
MC3R	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
MROH8	0	1	0	0	0	0	0	1	1	1	15	6.666666666666667
MT-ND4	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
MUC4	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
NBPF10	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
NBPF9	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
NCOA6	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
NEDD4L	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
NEIL1	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
NRXN1	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
OTOP1	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
PCDHB4	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
PKDREJ	1	0	0	0	0	0	0	1	1	1	15	6.666666666666667
PLA2G12A	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
PM20D2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
POGLUT1	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
POTEA	1	0	0	0	0	0	0	1	1	1	15	6.666666666666667
PPBP	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
PPP1R3F	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
PRDM10	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
PROSER2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
PRSS12	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
PTP4A2	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
PTPRJ	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
RAI1	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
RMI2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
RSBN1L	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
RUNX1T1	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
SKOR2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
SLC22A9	0	1	0	0	0	0	0	1	1	1	15	6.666666666666667
SOX1	1	0	0	0	0	0	0	1	1	1	15	6.666666666666667
SOX4	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
SPANXD	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
SUSD2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
SVEP1	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
SYNE2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
