Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
H3F3A	0	0	0	11	0	0	0	11	11	11	13	84.61538461538461
TP53	0	0	0	12	1	0	0	13	10	10	13	76.92307692307693
ATRX	1	0	0	1	2	0	0	4	4	4	13	30.76923076923077
SOX10	2	0	0	1	1	0	0	4	4	4	13	30.76923076923077
NBPF10	0	0	0	3	0	0	0	3	3	3	13	23.076923076923077
PHLPP1	0	0	3	0	0	0	0	3	3	3	13	23.076923076923077
SOX1	3	0	0	0	0	0	0	3	3	3	13	23.076923076923077
MT-ND4	1	0	0	2	0	0	0	3	2	2	13	15.384615384615385
ANKRD30A	0	0	0	2	0	0	0	2	2	2	13	15.384615384615385
DLX6	0	0	2	0	0	0	0	2	2	2	13	15.384615384615385
MYT1	0	0	1	1	0	0	0	2	2	2	13	15.384615384615385
PPM1D	0	1	0	0	1	0	0	2	2	2	13	15.384615384615385
RNU6-642P	0	0	0	0	0	2	0	2	2	2	13	15.384615384615385
ZIC5	2	0	0	0	0	0	0	2	2	2	13	15.384615384615385
TFEC	0	0	0	3	1	0	0	4	1	1	13	7.6923076923076925
BRAF	0	0	0	2	0	0	0	2	1	1	13	7.6923076923076925
SLC4A1	0	0	0	2	0	0	0	2	1	1	13	7.6923076923076925
A1CF	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ABCA2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ABCB4	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ABCC6	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ACVR1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ACVR1B	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
ADAM2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ADAM7	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ADAMTS3	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ADAMTSL1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AGA	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
AGPAT3	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AHNAK2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AKNA	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
