Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
CENPB	0	0	0	0	0	0	0	3	3	3	3	12	25
AHNAK2	0	0	0	0	2	0	0	0	2	2	2	12	16.666666666666664
RPL10	0	0	0	0	2	0	0	0	2	2	2	12	16.666666666666664
FGFR1	0	0	0	0	2	0	0	0	2	1	1	12	8.333333333333332
LILRB2	0	0	0	0	2	0	0	0	2	1	1	12	8.333333333333332
ADAMTS17	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
AHNAK	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
AKAP17A	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
AKT3	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
AL133304.3	0	0	0	0	0	0	1	0	1	1	1	12	8.333333333333332
ALX3	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
ANKRD18B	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
AP005019.3	0	0	0	0	0	0	1	0	1	1	1	12	8.333333333333332
APBA1	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
C11orf96	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
CNTNAP3	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
DEAF1	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
DNAJC14	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
DUSP27	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
ELP5	0	0	0	0	0	0	1	0	1	1	1	12	8.333333333333332
EPO	0	0	0	0	0	0	0	1	1	1	1	12	8.333333333333332
FKBP11	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
FLG2	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
GLI4	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
GOLGA6L10	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
GOLGA8S	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
GTF2IRD2B	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
GZF1	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
HCN1	0	0	0	0	0	0	0	1	1	1	1	12	8.333333333333332
HEPACAM2	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
HOXD9	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
IGFN1	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
IGHV3-21	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
IRX2	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
KLF18	0	0	0	1	0	0	0	0	1	1	1	12	8.333333333333332
LAMB2	0	0	0	0	0	0	1	0	1	1	1	12	8.333333333333332
LEMD3	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
LMO1	0	0	0	0	0	0	1	0	1	1	1	12	8.333333333333332
MAFA	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
MAN1B1	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
MARCKS	0	1	0	0	0	0	0	0	1	1	1	12	8.333333333333332
MMP9	0	0	0	0	0	0	1	0	1	1	1	12	8.333333333333332
MTX1	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
MUC3A	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
NBPF9	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
NCOA6	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
NEK3	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
NF1	0	0	0	0	0	1	0	0	1	1	1	12	8.333333333333332
NKX2-3	1	0	0	0	0	0	0	0	1	1	1	12	8.333333333333332
NXPH2	0	0	0	0	0	0	1	0	1	1	1	12	8.333333333333332
NYNRIN	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
OTOF	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
PIK3CA	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
PLEKHH3	1	0	0	0	0	0	0	0	1	1	1	12	8.333333333333332
PRSS3	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
RAMP2	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
RASA4	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
RHOU	0	0	0	0	0	0	0	1	1	1	1	12	8.333333333333332
RNPEPL1	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
RSPH1	0	0	0	0	0	0	1	0	1	1	1	12	8.333333333333332
SALL1	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
SETX	0	0	0	0	0	0	1	0	1	1	1	12	8.333333333333332
SPDYE1	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
STIMATE	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
STXBP5	0	0	0	0	0	0	0	1	1	1	1	12	8.333333333333332
TAF1	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
TCL1B	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
THEMIS2	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
TIMM13	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
TRIM51	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
TUBB8P12	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
UGT2B11	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
UNCX	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
USP40	0	1	0	0	0	0	0	0	1	1	1	12	8.333333333333332
WDR26	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
ZBTB47	0	0	1	0	0	0	0	0	1	1	1	12	8.333333333333332
ZIC5	1	0	0	0	0	0	0	0	1	1	1	12	8.333333333333332
ZNF442	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
ZNF728	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
ZNF761	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
ZNF780A	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
ZNF813	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
ZNF850	0	0	0	0	1	0	0	0	1	1	1	12	8.333333333333332
