Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
SOX1	5	0	4	0	0	0	0	0	9	9	9	60	15
PHLPP1	0	0	7	0	0	0	0	0	7	7	7	60	11.666666666666666
RAMP2	0	0	7	0	0	0	0	0	7	7	7	60	11.666666666666666
MUC4	0	0	0	0	5	0	0	0	5	5	5	60	8.333333333333332
FLG2	0	0	0	0	6	0	0	0	6	4	4	60	6.666666666666667
PLXNB1	0	0	0	0	2	0	4	0	6	4	4	60	6.666666666666667
TNFRSF12A	0	0	0	0	0	0	4	1	5	4	4	60	6.666666666666667
TEX13C	0	0	0	0	4	0	0	0	4	4	4	60	6.666666666666667
COL1A1	0	0	0	0	1	0	52	0	53	3	3	60	5
AGRN	0	0	0	0	1	0	32	0	33	3	3	60	5
ITGB4	0	0	0	0	1	0	19	0	20	3	3	60	5
FUS	0	0	1	0	0	0	9	0	10	3	3	60	5
ILF3	0	0	0	0	1	0	9	0	10	3	3	60	5
DPP7	0	0	0	0	1	0	8	0	9	3	3	60	5
MUC5B	0	0	0	0	2	0	7	0	9	3	3	60	5
NUMA1	0	0	0	0	0	0	9	0	9	3	3	60	5
INTS1	0	0	0	0	1	0	7	0	8	3	3	60	5
PLXND1	0	0	0	0	1	0	7	0	8	3	3	60	5
GNPTG	0	0	0	0	1	0	6	0	7	3	3	60	5
PTBP1	0	0	1	0	0	0	6	0	7	3	3	60	5
APH1A	0	0	0	0	1	0	5	0	6	3	3	60	5
CIC	1	0	0	0	0	0	5	0	6	3	3	60	5
COPG1	0	0	0	0	1	0	5	0	6	3	3	60	5
NDUFV1	0	0	0	0	1	0	5	0	6	3	3	60	5
CD163	0	0	0	0	1	0	4	0	5	3	3	60	5
MAP7D1	0	0	0	0	1	0	4	0	5	3	3	60	5
MEGF8	0	0	0	0	3	0	2	0	5	3	3	60	5
PSMD3	0	0	0	0	1	0	4	0	5	3	3	60	5
AHNAK2	0	0	0	0	4	0	0	0	4	3	3	60	5
ARID1A	0	0	0	0	1	0	3	0	4	3	3	60	5
ATP13A2	0	0	0	0	1	0	3	0	4	3	3	60	5
GPI	0	0	0	0	1	0	3	0	4	3	3	60	5
LRP10	0	0	0	0	0	0	4	0	4	3	3	60	5
MUC17	0	0	0	0	4	0	0	0	4	3	3	60	5
NBEAL2	0	0	0	0	1	0	3	0	4	3	3	60	5
NME4	0	0	0	0	1	0	3	0	4	3	3	60	5
PPM1G	0	0	0	0	1	0	3	0	4	3	3	60	5
PRKDC	0	0	0	0	2	0	2	0	4	3	3	60	5
RNPEPL1	0	0	1	0	0	0	3	0	4	3	3	60	5
AHNAK	0	0	0	0	1	0	2	0	3	3	3	60	5
ASAH1	0	0	0	0	0	0	3	0	3	3	3	60	5
CHD8	0	0	0	0	1	0	2	0	3	3	3	60	5
CXorf67	0	0	0	0	3	0	0	0	3	3	3	60	5
DEAF1	0	0	3	0	0	0	0	0	3	3	3	60	5
FOXD4L4	3	0	0	0	0	0	0	0	3	3	3	60	5
FOXF2	0	0	2	0	1	0	0	0	3	3	3	60	5
HLA-A	0	0	0	0	3	0	0	0	3	3	3	60	5
MUC5AC	0	0	0	0	3	0	0	0	3	3	3	60	5
