Broad histology group	Molecular Subtype	Patients	Tumors
Chordoma	CHDM, conventional	2	2
Chordoma	CHDM, poorly differentiated	2	5
Diffuse astrocytic and oligodendroglial tumor	DHG, H3 G35	10	13
Diffuse astrocytic and oligodendroglial tumor	DHG, H3 G35, TP53	18	18
Diffuse astrocytic and oligodendroglial tumor	DMG, H3 K28	102	130
Diffuse astrocytic and oligodendroglial tumor	DMG, H3 K28, TP53	100	138
Diffuse astrocytic and oligodendroglial tumor	HGG, H3 wildtype	97	115
Diffuse astrocytic and oligodendroglial tumor	HGG, H3 wildtype, TP53	53	72
Diffuse astrocytic and oligodendroglial tumor	HGG, IDH, TP53	11	12
Diffuse astrocytic and oligodendroglial tumor	IHG, ALK-altered	3	3
Diffuse astrocytic and oligodendroglial tumor	IHG, NTRK-altered	3	3
Diffuse astrocytic and oligodendroglial tumor	IHG, NTRK-altered, TP53	1	1
Diffuse astrocytic and oligodendroglial tumor	IHG, ROS1-altered	3	3
Diffuse astrocytic and oligodendroglial tumor	IHG, ROS1-altered, TP53	1	1
Embryonal tumor	ATRT, MYC	18	20
Embryonal tumor	ATRT, SHH	18	22
Embryonal tumor	ATRT, TYR	10	11
Embryonal tumor	CNS Embryonal, NOS	25	31
Embryonal tumor	CNS HGNET-MN1	2	2
Embryonal tumor	CNS NB-FOXR2	3	4
Embryonal tumor	ETMR, C19MC-altered	5	5
Embryonal tumor	ETMR, NOS	1	1
Embryonal tumor	MB, Group3	67	71
Embryonal tumor	MB, Group4	111	114
Embryonal tumor	MB, SHH	68	77
Embryonal tumor	MB, WNT	24	24
Ependymoma	EPN, MPE	17	20
Ependymoma	EPN, PF A	86	124
Ependymoma	EPN, PF B	9	10
Ependymoma	EPN, PF SE	1	1
Ependymoma	EPN, SP	6	6
Ependymoma	EPN, SP-MYCN	1	2
Ependymoma	EPN, SP-SE	1	1
Ependymoma	EPN, ST YAP1	4	6
Ependymoma	EPN, ST ZFTA	52	67
Low-grade astrocytic tumor	GNG, BRAF V600E	30	30
Low-grade astrocytic tumor	GNG, BRAF V600E, CDKN2A/B	2	2
Low-grade astrocytic tumor	GNG, FGFR	4	4
Low-grade astrocytic tumor	GNG, H3	1	1
Low-grade astrocytic tumor	GNG, IDH	1	2
Low-grade astrocytic tumor	GNG, KIAA1549-BRAF	9	9
Low-grade astrocytic tumor	GNG, MAPK	2	2
Low-grade astrocytic tumor	GNG, MYB/MYBL1	2	2
Low-grade astrocytic tumor	GNG, NF1-germline	1	1
Low-grade astrocytic tumor	GNG, NF1-somatic, BRAF V600E	1	1
Low-grade astrocytic tumor	GNG, RTK	5	8
Low-grade astrocytic tumor	GNG, other MAPK	7	7
