Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
NF2	1	0	0	0	1	0	1	0	3	3	3	8	37.5
GOLGA6L6	0	0	0	2	0	0	0	0	2	2	2	8	25
NBPF26	0	0	0	2	0	0	0	0	2	2	2	8	25
RAMP2	0	0	2	0	0	0	0	0	2	2	2	8	25
RHBDF1	0	0	0	2	0	0	0	0	2	2	2	8	25
MUC17	0	0	0	3	0	0	0	0	3	1	1	8	12.5
AHNAK2	0	0	0	1	0	0	0	0	1	1	1	8	12.5
AKAP10	0	0	0	1	0	0	0	0	1	1	1	8	12.5
AKT1	0	0	0	1	0	0	0	0	1	1	1	8	12.5
AMOT	0	0	1	0	0	0	0	0	1	1	1	8	12.5
ANKRD44	0	0	0	0	0	1	0	0	1	1	1	8	12.5
BAHCC1	0	0	0	1	0	0	0	0	1	1	1	8	12.5
C12orf45	0	0	0	1	0	0	0	0	1	1	1	8	12.5
CARD10	0	0	0	1	0	0	0	0	1	1	1	8	12.5
CENPB	0	0	0	0	0	0	0	1	1	1	1	8	12.5
CNGB3	0	0	0	1	0	0	0	0	1	1	1	8	12.5
CRTAM	0	0	0	1	0	0	0	0	1	1	1	8	12.5
CSF2RB	0	0	0	1	0	0	0	0	1	1	1	8	12.5
CXCL3	0	0	0	1	0	0	0	0	1	1	1	8	12.5
DNAH7	0	0	0	1	0	0	0	0	1	1	1	8	12.5
DPAGT1	0	0	1	0	0	0	0	0	1	1	1	8	12.5
EIF1AX	0	0	0	1	0	0	0	0	1	1	1	8	12.5
ELAC1	0	0	0	0	0	0	1	0	1	1	1	8	12.5
ENC1	0	0	0	1	0	0	0	0	1	1	1	8	12.5
FAM155A	1	0	0	0	0	0	0	0	1	1	1	8	12.5
FAM241A	0	0	0	1	0	0	0	0	1	1	1	8	12.5
FTSJ3	0	0	0	1	0	0	0	0	1	1	1	8	12.5
GPR153	0	0	0	1	0	0	0	0	1	1	1	8	12.5
GPR34	0	0	0	1	0	0	0	0	1	1	1	8	12.5
GRIK4	0	0	0	1	0	0	0	0	1	1	1	8	12.5
HTRA2	0	0	0	1	0	0	0	0	1	1	1	8	12.5
IGHV3-21	0	0	0	1	0	0	0	0	1	1	1	8	12.5
IRX5	0	0	0	1	0	0	0	0	1	1	1	8	12.5
ITGA2	0	0	0	0	0	0	1	0	1	1	1	8	12.5
ITPRIPL1	0	0	1	0	0	0	0	0	1	1	1	8	12.5
KAT6B	0	0	1	0	0	0	0	0	1	1	1	8	12.5
KCNQ2	0	0	0	1	0	0	0	0	1	1	1	8	12.5
LILRB3	0	0	0	1	0	0	0	0	1	1	1	8	12.5
MAP1B	0	0	0	1	0	0	0	0	1	1	1	8	12.5
MAPKBP1	0	0	0	0	0	0	1	0	1	1	1	8	12.5
MCM4	0	0	0	1	0	0	0	0	1	1	1	8	12.5
MLYCD	0	0	0	1	0	0	0	0	1	1	1	8	12.5
MT-CO1	0	0	0	1	0	0	0	0	1	1	1	8	12.5
MT-ND4L	0	0	0	0	0	0	0	1	1	1	1	8	12.5
MYH1	0	0	0	1	0	0	0	0	1	1	1	8	12.5
MYH4	0	0	0	1	0	0	0	0	1	1	1	8	12.5
MYO7B	0	0	0	1	0	0	0	0	1	1	1	8	12.5
NBR1	0	0	1	0	0	0	0	0	1	1	1	8	12.5
NKX2-3	1	0	0	0	0	0	0	0	1	1	1	8	12.5
NPIPB2	0	0	0	1	0	0	0	0	1	1	1	8	12.5
PEAR1	0	0	0	0	0	0	1	0	1	1	1	8	12.5
PER3	0	0	0	1	0	0	0	0	1	1	1	8	12.5
PLA2G4A	0	0	0	1	0	0	0	0	1	1	1	8	12.5
PLEKHG5	0	0	1	0	0	0	0	0	1	1	1	8	12.5
POM121L2	0	0	0	1	0	0	0	0	1	1	1	8	12.5
PRDM13	0	0	1	0	0	0	0	0	1	1	1	8	12.5
PRSS3	0	0	0	1	0	0	0	0	1	1	1	8	12.5
RAI1	0	0	0	0	0	0	1	0	1	1	1	8	12.5
RANGAP1	0	0	1	0	0	0	0	0	1	1	1	8	12.5
RAPSN	0	0	0	1	0	0	0	0	1	1	1	8	12.5
RGS22	0	0	0	1	0	0	0	0	1	1	1	8	12.5
RNF145	0	1	0	0	0	0	0	0	1	1	1	8	12.5
RPS26P43	0	0	0	0	0	0	1	0	1	1	1	8	12.5
RUVBL1	0	0	0	1	0	0	0	0	1	1	1	8	12.5
SALL2	0	0	1	0	0	0	0	0	1	1	1	8	12.5
SIK2	0	0	0	1	0	0	0	0	1	1	1	8	12.5
SLC10A4	0	0	0	1	0	0	0	0	1	1	1	8	12.5
SLC26A5	0	0	0	1	0	0	0	0	1	1	1	8	12.5
SLC45A1	0	0	0	1	0	0	0	0	1	1	1	8	12.5
SMARCE1	0	0	0	0	0	0	1	0	1	1	1	8	12.5
SUV39H1	0	0	0	1	0	0	0	0	1	1	1	8	12.5
SYDE2	0	0	0	1	0	0	0	0	1	1	1	8	12.5
TAF7	0	0	0	1	0	0	0	0	1	1	1	8	12.5
TIGD5	0	0	0	1	0	0	0	0	1	1	1	8	12.5
TMEM132B	0	0	0	1	0	0	0	0	1	1	1	8	12.5
TMEM229A	0	0	1	0	0	0	0	0	1	1	1	8	12.5
TMEM259	0	0	0	1	0	0	0	0	1	1	1	8	12.5
