Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
SMARCB1	4	0	0	0	0	4	0	0	8	8	8	24	33.33333333333333
SP8	0	0	4	0	0	0	0	0	4	4	4	24	16.666666666666664
RAMP2	0	0	3	0	0	0	0	0	3	3	3	24	12.5
FAM155B	0	0	1	0	1	0	0	0	2	2	2	24	8.333333333333332
KIR2DL3	0	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
MUCL3	0	1	0	0	1	0	0	0	2	2	2	24	8.333333333333332
NKX2-3	2	0	0	0	0	0	0	0	2	2	2	24	8.333333333333332
SIGLEC7	1	0	0	0	1	0	0	0	2	2	2	24	8.333333333333332
SLC10A4	0	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
SUSD2	0	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
ZNF708	0	0	1	0	1	0	0	0	2	2	2	24	8.333333333333332
ZNF891	0	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
CASC3	0	0	0	0	2	0	0	0	2	1	1	24	4.166666666666666
ERO1A	1	0	0	0	0	1	0	0	2	1	1	24	4.166666666666666
PRLR	0	0	2	0	0	0	0	0	2	1	1	24	4.166666666666666
A2ML1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ABCA8	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ABCG5	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ABR	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
AC008687.4	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
AC027306.1	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
AC239859.6	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
ACAP1	0	0	1	0	0	0	0	0	1	1	1	24	4.166666666666666
ACP5	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ADAD2	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ADAM17	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ADAMTS16	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ADAMTS7	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
ADGRA1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
AGRN	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
AGXT	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
AHNAK	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
AKR1B15	0	0	0	0	0	1	0	0	1	1	1	24	4.166666666666666
ALAS2	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ALDH1A2	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
AMZ1	0	0	0	0	0	1	0	0	1	1	1	24	4.166666666666666
ANKRD13B	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ANKRD63	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ANO10	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
ANO6	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
AOC2	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
AP003121.1	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
AR	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ARHGEF38	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ARID1B	0	0	1	0	0	0	0	0	1	1	1	24	4.166666666666666
ARID3A	0	0	1	0	0	0	0	0	1	1	1	24	4.166666666666666
ARMC4	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ATF7	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
ATG9B	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
BCORL1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
BMP2K	0	0	1	0	0	0	0	0	1	1	1	24	4.166666666666666
BMP4	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
BMPR1A	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
BRD9	0	0	1	0	0	0	0	0	1	1	1	24	4.166666666666666
BRI3BP	0	0	0	0	0	0	0	1	1	1	1	24	4.166666666666666
C12orf42	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
C16orf72	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
C4orf50	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
C8B	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CA6	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CABP1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CADM4	0	0	1	0	0	0	0	0	1	1	1	24	4.166666666666666
CADPS	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CALD1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CALY	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CARD11	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CARD8	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
CARMIL2	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CASP5	0	1	0	0	0	0	0	0	1	1	1	24	4.166666666666666
CATSPERZ	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CCAR2	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CCDC102A	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CCDC168	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CCDC188	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CCDC30	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
CCDC9B	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CCNB2	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
CDADC1	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
CDAN1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CDH20	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CENPB	0	0	0	0	0	0	0	1	1	1	1	24	4.166666666666666
CEP76	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
CFTR	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CHAT	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CHD2	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CHERP	0	0	1	0	0	0	0	0	1	1	1	24	4.166666666666666
CHRNA5	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CLTCL1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CMYA5	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CNOT10	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
CNTN5	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
COL14A1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
COL5A1	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
CPEB2	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CSPG4	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CT45A9	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CYLD	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CYP1B1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CYP4F8	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DAB2IP	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DAG1	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
DCAF12L2	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DDN	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DDX60	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
DELE1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DHX29	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
DLC1	0	0	1	0	0	0	0	0	1	1	1	24	4.166666666666666
DMRTA1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DNAH12	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DNAH5	0	0	0	0	0	1	0	0	1	1	1	24	4.166666666666666
DNAH6	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DNAH7	0	0	0	0	0	1	0	0	1	1	1	24	4.166666666666666
DNASE1L1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DNMBP	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DPP10	0	0	0	0	0	1	0	0	1	1	1	24	4.166666666666666
DPY19L1	0	0	0	0	0	0	0	1	1	1	1	24	4.166666666666666
DSC1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DUSP7	0	0	0	0	0	0	0	1	1	1	1	24	4.166666666666666
DVL1	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
DYRK4	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
EBF4	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
EDEM3	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
EHD4	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
EIF6	0	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
ELFN2	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ELOVL4	1	0	0	0	0	0	0	0	1	1	1	24	4.166666666666666
ERAP1	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ESPN	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
FAM135B	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
FAM89B	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
FAM9C	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
FBXO40	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
FCN3	0	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
