Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
PCDHB4	0	0	0	0	2	0	0	0	2	2	2	13	15.384615384615385
MUC3A	0	0	0	0	2	0	0	0	2	1	1	13	7.6923076923076925
NBPF10	0	0	0	0	2	0	0	0	2	1	1	13	7.6923076923076925
ADAMTS16	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AGAP4	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AHNAK	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
APLP1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ATP2A3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ATP5ME	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
BCKDK	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
BIRC6	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
BPTF	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
BTBD2	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
CACNA1I	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
CASP5	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CBFB	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
CBL	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
CBLB	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CCDC155	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
CDKN2A	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CENPB	0	0	0	0	0	0	0	1	1	1	1	13	7.6923076923076925
CHST4	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CHSY3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CITED4	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CLCN4	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CNTNAP3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
COLEC10	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CPEB2	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
CRIM1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
CS	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
DEGS2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
DENND1B	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
EIF2B3	0	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
ETV3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
EYS	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
FAAP100	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
FOXF1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
GDPD5	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GLI3	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GRIN1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
HLA-A	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
HSPG2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
IGHV4-4	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
INTS11	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ITGAM	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
JCAD	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
JMJD8	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
KCNN4	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
KRT10	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
KRT28	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
LDHB	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
LDHD	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
LMNTD2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
LRRC14	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
LRRC7	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
MAP1B	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MAP3K1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MED15	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
MRO	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MT-CO1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MT-ND5	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MUC17	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NBPF26	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NBPF9	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NEFH	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NHLRC1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NIPA1	0	0	0	0	0	0	0	1	1	1	1	13	7.6923076923076925
NKX3-1	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
NOP56	0	0	0	0	0	0	0	1	1	1	1	13	7.6923076923076925
NOS2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NPIPA1	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
OR10G4	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
OR8K1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
OSBPL5	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
PAPPA2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PEAR1	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
PLEKHH3	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
PNMA8B	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PNPLA7	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PRSS56	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PSG2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
RAMP2	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
RPL10	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SEMG2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SETD2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SGMS1	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SHE	0	0	0	0	0	0	0	1	1	1	1	13	7.6923076923076925
SLC4A7	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SOX21	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
SP3	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
SPATA31A6	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SUSD2	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TRBV5-7	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TTN	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
UVRAG	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
WAS	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
WDR11	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
XKR4	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ZDHHC8	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ZNF33B	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ZNF350	0	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
ZNF469	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ZNF618	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ZNF845	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
